"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Start showing relevant ads","					  Automatically move the location of your ads to follow a specific weather condition in your country
				  ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Start showing relevant ads","👉 Add your own via WebHooks!",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Start showing relevant ads","					Metri is directly integrated with all major advertising channels
			    ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Start showing relevant ads","Using this site you agree to our cookie policy:",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Start showing relevant ads","Metri uses cookies, which could include also third party cookies (like Google Analytics).",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Start showing relevant ads","You can read more about cookies here and you can disable them here.",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Start showing relevant ads","Using Metri you accept our Terms & Conditions.",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Start showing relevant ads"," Metri SARL-S | 2018 Luxembourg 🇱🇺 ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Start showing relevant ads","Sync digital ads with weather and stock market data and create powerful automations. Free trial and live support.",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"Increase sales and conversions using simple ""if this then that"" rules. Sync your ads with the weather, the stock market and other triggers automatically",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"				Use Metri to automate your marketing campaigns based on the weather, the stock market,
				your website activity, your inventory or anything else!
			",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"👉 More triggers are coming soon..",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"					  Use triggers to pause non relevant campaigns and un-pause relevant campaigns
				  ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"					  Set automated rules and make sure you are always visible when your customers are more likely to buy your product
				  ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"					  Automatically move the location of your ads to follow a specific weather condition in your country
				  ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"👉 Add your own via WebHooks!",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"					Metri is directly integrated with all major advertising channels
			    ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"Using this site you agree to our cookie policy:",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"Metri uses cookies, which could include also third party cookies (like Google Analytics).",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"You can read more about cookies here and you can disable them here.",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"Using Metri you accept our Terms & Conditions.",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links," Metri SARL-S | 2018 Luxembourg 🇱🇺 ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Links,"Sync digital ads with weather and stock market data and create powerful automations. Free trial and live support.",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"Increase sales and conversions using simple ""if this then that"" rules. Sync your ads with the weather, the stock market and other triggers automatically",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"				Use Metri to automate your marketing campaigns based on the weather, the stock market,
				your website activity, your inventory or anything else!
			",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"👉 More triggers are coming soon..",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"					  Use triggers to pause non relevant campaigns and un-pause relevant campaigns
				  ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"					  Set automated rules and make sure you are always visible when your customers are more likely to buy your product
				  ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"					  Automatically move the location of your ads to follow a specific weather condition in your country
				  ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"👉 Add your own via WebHooks!",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"					Metri is directly integrated with all major advertising channels
			    ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"Using this site you agree to our cookie policy:",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"Metri uses cookies, which could include also third party cookies (like Google Analytics).",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"You can read more about cookies here and you can disable them here.",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"Using Metri you accept our Terms & Conditions.",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies," Metri SARL-S | 2018 Luxembourg 🇱🇺 ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns",Cookies,"Sync digital ads with weather and stock market data and create powerful automations. Free trial and live support.",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","Increase sales and conversions using simple ""if this then that"" rules. Sync your ads with the weather, the stock market and other triggers automatically",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","				Use Metri to automate your marketing campaigns based on the weather, the stock market,
				your website activity, your inventory or anything else!
			",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","👉 More triggers are coming soon..",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","					  Use triggers to pause non relevant campaigns and un-pause relevant campaigns
				  ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","					  Set automated rules and make sure you are always visible when your customers are more likely to buy your product
				  ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","					  Automatically move the location of your ads to follow a specific weather condition in your country
				  ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","👉 Add your own via WebHooks!",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","					Metri is directly integrated with all major advertising channels
			    ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","Using this site you agree to our cookie policy:",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","Metri uses cookies, which could include also third party cookies (like Google Analytics).",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","You can read more about cookies here and you can disable them here.",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","Using Metri you accept our Terms & Conditions.",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions"," Metri SARL-S | 2018 Luxembourg 🇱🇺 ",,
,Headline,Enabled,All,Https://metri.net,"Automate your Marketing Campaigns","Terms & Conditions","Sync digital ads with weather and stock market data and create powerful automations. Free trial and live support.",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","Increase sales and conversions using simple ""if this then that"" rules. Sync your ads with the weather, the stock market and other triggers automatically",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","				Use Metri to automate your marketing campaigns based on the weather, the stock market,
				your website activity, your inventory or anything else!
			",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","👉 More triggers are coming soon..",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","					  Use triggers to pause non relevant campaigns and un-pause relevant campaigns
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","					  Set automated rules and make sure you are always visible when your customers are more likely to buy your product
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","					  Automatically move the location of your ads to follow a specific weather condition in your country
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","👉 Add your own via WebHooks!",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","					Metri is directly integrated with all major advertising channels
			    ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","Using this site you agree to our cookie policy:",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","Metri uses cookies, which could include also third party cookies (like Google Analytics).",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","You can read more about cookies here and you can disable them here.",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","Using Metri you accept our Terms & Conditions.",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free"," Metri SARL-S | 2018 Luxembourg 🇱🇺 ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Try it. You can start for free","Sync digital ads with weather and stock market data and create powerful automations. Free trial and live support.",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","Increase sales and conversions using simple ""if this then that"" rules. Sync your ads with the weather, the stock market and other triggers automatically",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","				Use Metri to automate your marketing campaigns based on the weather, the stock market,
				your website activity, your inventory or anything else!
			",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","👉 More triggers are coming soon..",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","					  Use triggers to pause non relevant campaigns and un-pause relevant campaigns
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","					  Set automated rules and make sure you are always visible when your customers are more likely to buy your product
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","					  Automatically move the location of your ads to follow a specific weather condition in your country
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","👉 Add your own via WebHooks!",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","					Metri is directly integrated with all major advertising channels
			    ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","Using this site you agree to our cookie policy:",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","Metri uses cookies, which could include also third party cookies (like Google Analytics).",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","You can read more about cookies here and you can disable them here.",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","Using Metri you accept our Terms & Conditions.",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks"," Metri SARL-S | 2018 Luxembourg 🇱🇺 ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Set automated rules in few clicks","Sync digital ads with weather and stock market data and create powerful automations. Free trial and live support.",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","Increase sales and conversions using simple ""if this then that"" rules. Sync your ads with the weather, the stock market and other triggers automatically",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","				Use Metri to automate your marketing campaigns based on the weather, the stock market,
				your website activity, your inventory or anything else!
			",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","👉 More triggers are coming soon..",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","					  Use triggers to pause non relevant campaigns and un-pause relevant campaigns
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","					  Set automated rules and make sure you are always visible when your customers are more likely to buy your product
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","					  Automatically move the location of your ads to follow a specific weather condition in your country
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","👉 Add your own via WebHooks!",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","					Metri is directly integrated with all major advertising channels
			    ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","Using this site you agree to our cookie policy:",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","Metri uses cookies, which could include also third party cookies (like Google Analytics).",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","You can read more about cookies here and you can disable them here.",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","Using Metri you accept our Terms & Conditions.",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales"," Metri SARL-S | 2018 Luxembourg 🇱🇺 ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Use external data to boost sales","Sync digital ads with weather and stock market data and create powerful automations. Free trial and live support.",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","Increase sales and conversions using simple ""if this then that"" rules. Sync your ads with the weather, the stock market and other triggers automatically",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","				Use Metri to automate your marketing campaigns based on the weather, the stock market,
				your website activity, your inventory or anything else!
			",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","👉 More triggers are coming soon..",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","					  Use triggers to pause non relevant campaigns and un-pause relevant campaigns
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","					  Set automated rules and make sure you are always visible when your customers are more likely to buy your product
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","					  Automatically move the location of your ads to follow a specific weather condition in your country
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","👉 Add your own via WebHooks!",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","					Metri is directly integrated with all major advertising channels
			    ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","Using this site you agree to our cookie policy:",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","Metri uses cookies, which could include also third party cookies (like Google Analytics).",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","You can read more about cookies here and you can disable them here.",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","Using Metri you accept our Terms & Conditions.",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?"," Metri SARL-S | 2018 Luxembourg 🇱🇺 ",,
,Headline,Enabled,All,Https://metri.net,Metri,"Smart companies turn external data into a competitive advantage. You?","Sync digital ads with weather and stock market data and create powerful automations. Free trial and live support.",,
,Headline,Enabled,All,Https://metri.net,Metri,weather,"Increase sales and conversions using simple ""if this then that"" rules. Sync your ads with the weather, the stock market and other triggers automatically",,
,Headline,Enabled,All,Https://metri.net,Metri,weather,"				Use Metri to automate your marketing campaigns based on the weather, the stock market,
				your website activity, your inventory or anything else!
			",,
,Headline,Enabled,All,Https://metri.net,Metri,weather,"👉 More triggers are coming soon..",,
,Headline,Enabled,All,Https://metri.net,Metri,weather,"					  Use triggers to pause non relevant campaigns and un-pause relevant campaigns
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,weather,"					  Set automated rules and make sure you are always visible when your customers are more likely to buy your product
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,weather,"					  Automatically move the location of your ads to follow a specific weather condition in your country
				  ",,
,Headline,Enabled,All,Https://metri.net,Metri,weather,"👉 Add your own via WebHooks!",,
,Headline,Enabled,All,Https://metri.net,Metri,weather,"					Metri is directly integrated with all major advertising channels
			    ",,
,Headline,Enabled,All,Https://metri.net,Metri,weather,"Using this site you agree to our cookie policy:",,
,Headline,Enabled,All,Https://metri.net,Metri,weather,"Metri uses cookies, which could include also third party cookies (like Google Analytics).",,
